"sec"	"mA"	"mV"
108.726    -0.000770727347116917    -250.190536499023
109.724    -0.00141979334875941    -250.153015136719
110.724    -0.0015007967595011    -250.228057861328
111.727    -0.0015007967595011    -250.190536499023
112.717    -0.00166384212207049    -250.153015136719
113.715    -0.00190685247071087    -250.190536499023
114.716    -0.00182584894355386    -250.228057861328
115.714    -0.00198785588145256    -250.265579223633
116.71    -0.00198785588145256    -250.265579223633
117.708    -0.00214986270293593    -250.115005493164
118.701    -0.00223190477117896    -250.190536499023
119.703    -0.00223190477117896    -250.265579223633
120.699    -0.00247491500340402    -250.190536499023
121.692    -0.00255591841414571    -250.190536499023
122.694    -0.00255591841414571    -250.153015136719
123.692    -0.00263692182488739    -250.190536499023
124.685    -0.00263692182488739    -250.115005493164
125.684    -0.00263692182488739    -250.228057861328
126.684    -0.00247491500340402    -250.228057861328
127.677    -0.00271792523562908    -250.190536499023
128.68    -0.00279892864637077    -250.190536499023
129.68    -0.00279892864637077    -250.228057861328
130.669    -0.00239391159266233    -250.228057861328
131.668    -0.00279892864637077    -250.190536499023
132.668    -0.00279892864637077    -250.265579223633
133.666    -0.00247491500340402    -250.228057861328
134.666    -0.00279892864637077    -250.228057861328
135.656    -0.00279892864637077    -250.190536499023
136.654    -0.00279892864637077    -250.190536499023
137.653    -0.00255591841414571    -250.190536499023
138.653    -0.00279892864637077    -250.228057861328
139.65    -0.00239391159266233    -250.190536499023
140.652    -0.00255591841414571    -250.190536499023
141.641    -0.0028809707146138    -250.190536499023
142.637    -0.0028809707146138    -250.153015136719
143.637    -0.00279892864637077    -250.228057861328
144.638    -0.00279892864637077    -250.153015136719
145.635    -0.00271792523562908    -250.265579223633
146.629    -0.00271792523562908    -250.190536499023
147.631    -0.00271792523562908    -250.153015136719
148.622    -0.0028809707146138    -250.190536499023
149.622    -0.00279892864637077    -250.303100585938
150.622    -0.00279892864637077    -250.190536499023
151.62    -0.0028809707146138    -250.228057861328
152.616    -0.00239391159266233    -250.153015136719
153.611    -0.0028809707146138    -250.190536499023
154.606    -0.0028809707146138    -250.228057861328
155.606    -0.00304297753609717    -250.190536499023
156.607    -0.00255591841414571    -250.265579223633
157.604    -0.00279892864637077    -250.115005493164
158.598    -0.00271792523562908    -250.190536499023
159.598    -0.00279892864637077    -250.190536499023
160.591    -0.00263692182488739    -250.228057861328
161.591    -0.00279892864637077    -250.265579223633
162.591    -0.00255591841414571    -250.190536499023
163.582    -0.00255591841414571    -250.265579223633
164.581    -0.00271792523562908    -250.190536499023
165.582    -0.00247491500340402    -250.190536499023
166.574    -0.00271792523562908    -250.153015136719
167.576    -0.0028809707146138    -250.265579223633
168.576    -0.00271792523562908    -250.153015136719
169.567    -0.00263692182488739    -250.265579223633
170.565    -0.00279892864637077    -250.190536499023
171.567    -0.00255591841414571    -250.190536499023
172.56    -0.00279892864637077    -250.228057861328
173.56    -0.00279892864637077    -250.153015136719
174.56    -0.00279892864637077    -250.190536499023
175.552    -0.00255591841414571    -250.190536499023
176.551    -0.00279892864637077    -250.190536499023
177.546    -0.00271792523562908    -250.228057861328
178.543    -0.00271792523562908    -250.190536499023
179.559    -0.00255591841414571    -250.190536499023
180.537    -0.00271792523562908    -250.153015136719
181.537    -0.00263692182488739    -250.190536499023
182.54    -0.00255591841414571    -250.265579223633
183.53    -0.00263692182488739    -250.190536499023
184.528    -0.00263692182488739    -250.115005493164
185.528    -0.00239391159266233    -250.228057861328
186.522    -0.00271792523562908    -250.153015136719
187.524    -0.00263692182488739    -250.265579223633
188.521    -0.00263692182488739    -250.265579223633
189.514    -0.00279892864637077    -250.190536499023
190.513    -0.00263692182488739    -250.115005493164
191.513    -0.00271792523562908    -250.228057861328
192.506    -0.00263692182488739    -250.228057861328
193.504    -0.00263692182488739    -250.265579223633
194.506    -0.00263692182488739    -250.265579223633
195.499    -0.00263692182488739    -250.228057861328
196.497    -0.00263692182488739    -250.265579223633
197.498    -0.00263692182488739    -250.190536499023
198.491    -0.00263692182488739    -250.190536499023
199.49    -0.00247491500340402    -250.153015136719
200.492    -0.00239391159266233    -250.190536499023
200.807    -0.00239391159266233    -250.190536499023
201.484    0.0459620244801044    -200.129730224609
202.482    0.0152118736878037    -200.092208862305
203.482    0.00799114443361759    -200.092208862305
204.48    0.0045838076621294    -200.129730224609
205.478    0.00336667895317078    -200.054672241211
206.479    0.00214955047704279    -200.092208862305
207.468    0.00166249123867601    -200.129730224609
208.466    0.00101342529524118    -200.167251586914
209.467    0.000689411535859108    -200.129730224609
210.464    0.000446401216322556    -200.092208862305
211.463    0.000202352399355732    -200.129730224609
212.46    0.00012134897406213    -200.092208862305
213.451    0.00012134897406213    -200.017150878906
214.451    -0.000121661330922507    -200.092208862305
215.446    -4.06578983529471E-5    -200.092208862305
216.45    -0.000365710147889331    -200.092208862305
217.447    -0.000365710147889331    -200.054672241211
218.444    -0.000446713587734848    -200.092208862305
219.435    -0.000446713587734848    -200.054672241211
220.436    -0.000608720467425883    -200.092208862305
221.436    -0.000770727347116917    -200.092208862305
222.433    -0.000608720467425883    -200.204772949219
223.433    -0.000608720467425883    -200.167251586914
224.429    -0.000527716998476535    -200.129730224609
225.422    -0.000851730757858604    -200.129730224609
226.42    -0.00068972387816757    -200.204772949219
227.42    -0.00068972387816757    -200.129730224609
228.412    -0.000770727347116917    -200.129730224609
229.42    -0.000851730757858604    -200.167251586914
230.411    -0.000770727347116917    -200.129730224609
231.405    -0.000770727347116917    -200.092208862305
232.405    -0.000851730757858604    -200.204772949219
233.405    -0.000851730757858604    -200.092208862305
234.402    -0.000770727347116917    -200.129730224609
235.394    -0.000851730757858604    -200.204772949219
236.393    -0.00109577958937734    -200.167251586914
237.389    -0.000851730757858604    -200.129730224609
238.389    -0.00101477617863566    -200.204772949219
239.401    -0.00125778641086072    -200.204772949219
240.386    -0.00109577958937734    -200.092208862305
241.387    -0.00125778641086072    -200.017150878906
242.375    -0.00101477617863566    -200.167251586914
243.373    -0.00125778641086072    -200.129730224609
244.373    -0.0013387898216024    -200.167251586914
245.373    -0.0013387898216024    -200.129730224609
246.373    -0.0013387898216024    -200.204772949219
247.369    -0.00125778641086072    -200.054672241211
248.36    -0.0015007967595011    -200.129730224609
249.357    -0.00117678300011903    -200.092208862305
250.358    -0.0015007967595011    -200.167251586914
251.351    -0.0013387898216024    -200.204772949219
252.35    -0.0015007967595011    -200.129730224609
253.351    -0.00141979334875941    -200.092208862305
254.344    -0.0015007967595011    -200.054672241211
255.342    -0.00125778641086072    -200.129730224609
256.342    -0.0015828387113288    -200.054672241211
257.336    -0.00117678300011903    -200.167251586914
258.333    -0.00141979334875941    -200.129730224609
259.337    -0.0015828387113288    -200.129730224609
260.328    -0.0015828387113288    -200.167251586914
261.327    -0.0015828387113288    -200.017150878906
262.327    -0.0015007967595011    -200.017150878906
263.327    -0.0015007967595011    -200.092208862305
264.318    -0.0015828387113288    -200.092208862305
265.318    -0.0015007967595011    -200.129730224609
266.313    -0.0015007967595011    -200.129730224609
267.311    -0.0013387898216024    -200.204772949219
268.311    -0.0015007967595011    -200.167251586914
269.304    -0.00166384212207049    -200.167251586914
270.304    -0.0015007967595011    -200.092208862305
271.3    -0.00166384212207049    -200.129730224609
272.297    -0.0015007967595011    -200.092208862305
273.296    -0.00166384212207049    -200.054672241211
274.296    -0.0015828387113288    -200.204772949219
275.294    -0.0015828387113288    -200.204772949219
276.291    -0.0015828387113288    -200.092208862305
277.284    -0.00166384212207049    -200.129730224609
278.282    -0.0015007967595011    -200.129730224609
279.28    -0.0015828387113288    -200.129730224609
280.28    -0.0015007967595011    -200.167251586914
281.274    -0.0015007967595011    -200.054672241211
282.276    -0.0015828387113288    -200.129730224609
283.268    -0.0015828387113288    -200.204772949219
284.266    -0.0015007967595011    -200.092208862305
285.265    -0.0015007967595011    -200.054672241211
286.265    -0.00166384212207049    -200.167251586914
287.258    -0.00166384212207049    -200.092208862305
288.262    -0.0013387898216024    -200.204772949219
289.258    -0.00174484553281218    -200.167251586914
290.251    -0.0015007967595011    -200.204772949219
291.249    -0.0015007967595011    -200.167251586914
292.25    -0.00166384212207049    -200.129730224609
293.247    -0.00166384212207049    -200.167251586914
294.247    -0.00166384212207049    -200.092208862305
295.247    -0.00166384212207049    -200.092208862305
296.235    -0.0015007967595011    -200.092208862305
297.234    -0.00141979334875941    -200.167251586914
298.234    -0.00166384212207049    -200.129730224609
299.232    -0.0015007967595011    -200.167251586914
300.233    -0.0015007967595011    -200.017150878906
300.483    -0.0015828387113288    -200.054672241211
301.23    0.042229637503624    -150.144439697266
302.219    0.0153749184682965    -150.18196105957
303.218    0.00896526221185923    -150.106918334961
304.218    0.00604394637048244    -150.106918334961
305.215    0.00450280401855707    -150.219482421875
306.207    0.00360968918539584    -150.18196105957
307.212    0.00271761300973594    -150.144439697266
308.202    0.00255560595542192    -150.144439697266
309.202    0.00214955047704279    -150.144439697266
310.202    0.00206854683347046    -150.144439697266
311.2    0.0018255366012454    -150.144439697266
312.197    0.00141948089003563    -150.144439697266
313.194    0.00101342529524118    -150.144439697266
314.187    0.00117647065781057    -150.18196105957
315.187    0.00101342529524118    -150.144439697266
316.181    0.000770414946600795    -150.18196105957
317.185    0.000770414946600795    -150.144439697266
318.176    0.000527404656168073    -150.144439697266
319.179    0.000202352399355732    -150.18196105957
320.171    0.000283355853753164    -150.18196105957
321.171    0.000202352399355732    -150.144439697266
322.172    0.000446401216322556    -150.144439697266
323.163    0.00012134897406213    -150.144439697266
324.165    0.00012134897406213    -150.144439697266
325.158    4.03455378545914E-5    -150.144439697266
